category,sub-cateogry,branch
media,television,Canadian Department of National Defence
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,author,Statistics Canada
media,radio,Shared Services Canada
media,games,Shared Services Canada
media,television,Shared Services Canada
media,film,Shared Services Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,singer,Shared Services Canada
media,television,Library and Archives Canada
media,music,Canadian Department of National Defence
media,television,Government of Canada
media,television,Shared Services Canada
media,book,Finance Canada
media,book,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,music,Shared Services Canada
media,actor,Shared Services Canada
media,music,Shared Services Canada
media,film,Finance Canada
media,film,Shared Services Canada
media,game,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,film,Canadian House of Commons
media,actor,Shared Services Canada
media,actor,Shared Services Canada
media,media,Shared Services Canada
media,film,Industry Canada
media,actor,Shared Services Canada
media,model,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,music,Government of Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,game,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,film,Shared Services Canada
media,film,Transport Canada
media,event,Canadian House of Commons
media,television,Canadian Broadcasting Corporation
media,artist,Shared Services Canada
media,music,Shared Services Canada
media,music,Natural Resources Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,music,Natural Resources Canada
media,music,Canadian Department of National Defence
media,music,Canadian Department of National Defence
media,editor,Department of Justice Canada
media,film,Industry Canada
media,television,Canadian Broadcasting Corporation
media,music,Canadian Broadcasting Corporation
media,film,Industry Canada
media,game,Shared Services Canada
media,music,Environment Canada
media,music,Shared Services Canada
media,music,Transport Canada
media,music,Canadian Broadcasting Corporation
media,music,Canadian Broadcasting Corporation
media,music,Canadian Broadcasting Corporation
media,music,Canadian Broadcasting Corporation
media,music,Canadian Broadcasting Corporation
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,producer,Natural Resources Canada
media,television,Shared Services Canada
media,television,Finance Canada
media,television,Finance Canada
media,television,Shared Services Canada
media,television,Finance Canada
media,television,Shared Services Canada
media,television,Shared Services Canada
media,television,Finance Canada
media,music,Canadian Broadcasting Corporation
media,rapper,Canadian Museum of Civilization
media,comic,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,author,Finance Canada
media,author,Shared Services Canada
media,comedy,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,film,Government of Canada
media,film,Shared Services Canada
media,singer,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,radio,Canadian Broadcasting Corporation
media,television,Natural Resources Canada
media,radio,Canadian Broadcasting Corporation
media,music,Natural Resources Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,game,Shared Services Canada
media,comedy,Shared Services Canada
media,murderer,Shared Services Canada
media,game,Shared Services Canada
media,music,Shared Services Canada
media,television,Canadian Department of National Defence
media,music,Industry Canada
media,game,Canadian Department of National Defence
media,music,Department of Fisheries and Oceans
media,music,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,television,Government of Canada
media,television,Shared Services Canada
media,media,Shared Services Canada
media,language,Shared Services Canada
media,singer,Canadian Broadcasting Corporation
media,television,Canadian Department of National Defence
media,music,Shared Services Canada
media,music,Shared Services Canada
media,music,Shared Services Canada
media,film,Canadian Department of National Defence
media,film,Canadian Department of National Defence
media,film,Canadian Department of National Defence
