category,sub-cateogry,branch
sports,tennis,Shared Services Canada
sports,tennis,Shared Services Canada
sports,hockey,Shared Services Canada
sports,football,Canadian House of Commons
sports,tennis,Canadian Department of National Defence
sports,tennis,Canadian Department of National Defence
sports,wrestling,Shared Services Canada
sports,soccer,Shared Services Canada
sports,hockey,Environment Canada
sports,tennis,Canadian Department of National Defence
sports,hockey,Shared Services Canada
sports,jet ski,Environment Canada
sports,athletics,Environment Canada
sports,jet ski,Environment Canada
sports,jet ski,Environment Canada
sports,jet ski,Environment Canada
sports,jet ski,Environment Canada
sports,jet ski,Environment Canada
sports,racing,Natural Resources Canada
sports,racing,Natural Resources Canada
sports,soccer,Canadian Department of National Defence
sports,hockey,Shared Services Canada
sports,racing,Natural Resources Canada
sports,hockey,Finance Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,basketball,Shared Services Canada
sports,mixed martial arts,Canadian Department of National Defence
sports,mixed martial arts,Canadian Department of National Defence
sports,mixed martial arts,Canadian Department of National Defence
sports,soccer,Finance Canada
sports,soccer,Shared Services Canada
sports,soccer,Finance Canada
sports,soccer,Shared Services Canada
sports,soccer,Finance Canada
sports,soccer,Shared Services Canada
sports,athletics,Shared Services Canada
sports,soccer,Finance Canada
sports,soccer,Shared Services Canada
sports,curling,Shared Services Canada
sports,bobsleigh,Shared Services Canada
sports,hockey,Shared Services Canada
sports,football,Canadian House of Commons
sports,football,Canadian House of Commons
sports,football,Canadian House of Commons
sports,soccer,Shared Services Canada
sports,soccer,Shared Services Canada
sports,mixed martial arts,Finance Canada
sports,mixed martial arts,Shared Services Canada
sports,soccer,Shared Services Canada
sports,athletics,Shared Services Canada
sports,football,Shared Services Canada
sports,football,Shared Services Canada
sports,roller skating,Canadian Department of National Defence
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,pole vault,Environment Canada
sports,curling,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,hockey,Shared Services Canada
sports,curling,Shared Services Canada
talk,talk,Canadian House of Commons
talk,talk,Canadian House of Commons
talk,talk,Canadian House of Commons
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Department of Fisheries and Oceans
talk,talk,Shared Services Canada
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Shared Services Canada
talk,talk,Canadian Department of National Defence
talk,talk,Canadian House of Commons
talk,talk,Industry Canada
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Natural Resources Canada
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Environment Canada
talk,talk,Environment Canada
talk,talk,Environment Canada
talk,talk,Department of Fisheries and Oceans
talk,talk,Shared Services Canada
talk,talk,Canadian Department of National Defence
talk,talk,Department of Fisheries and Oceans
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Environment Canada
talk,talk,Shared Services Canada
talk,talk,Shared Services Canada
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Space Agency
talk,talk,Canadian Space Agency
talk,talk,Canadian Space Agency
talk,talk,Canadian Department of National Defence
talk,talk,Natural Resources Canada
talk,talk,Shared Services Canada
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Canadian Department of National Defence
talk,talk,Shared Services Canada
talk,talk,Natural Resources Canada
talk,talk,Shared Services Canada
talk,talk,Environment Canada
talk,talk,Environment Canada
talk,talk,Environment Canada
technology,technology,Shared Services Canada
technology,telephone,Shared Services Canada
technology,telephone,Shared Services Canada
technology,telephone,Shared Services Canada
technology,phone,Shared Services Canada
technology,phone,Shared Services Canada
technology,phone,Shared Services Canada
technology,law,Canadian Department of National Defence
technology,software,Shared Services Canada
technology,software,Canadian Department of National Defence
technology,telephone,Shared Services Canada
technology,application,Shared Services Canada
technology,parachute,Shared Services Canada
technology,parachute,Transport Canada
technology,parachute,Shared Services Canada
technology,parachute,Transport Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,radio,Shared Services Canada
technology,naval,Department of Fisheries and Oceans
technology,naval,Shared Services Canada
technology,naval,Environment Canada
technology,naval,Canadian Department of National Defence
technology,naval,Canadian Department of National Defence
technology,computer,Shared Services Canada
technology,law,Shared Services Canada
technology,law,Shared Services Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,internet,Library and Archives Canada
technology,software,Shared Services Canada
technology,software,Shared Services Canada
technology,software,Shared Services Canada
technology,software,Shared Services Canada
technology,software,Shared Services Canada
technology,theory,Shared Services Canada
technology,scientist,Shared Services Canada
technology,aviation,Canadian Department of National Defence
technology,light rail,Shared Services Canada
technology,software,Shared Services Canada
technology,cleaning,Canadian Department of National Defence
technology,cleaning,Canadian Department of National Defence
technology,software,Natural Resources Canada
technology,theory,Shared Services Canada
technology,product,Industry Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
template,template,Environment Canada
template,template,Environment Canada
template,template,Environment Canada
template,template,Shared Services Canada
template,template,Environment Canada
template,template,Environment Canada
template,template,Environment Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
template,template,Shared Services Canada
terrorism,terrorism plot,Shared Services Canada
terrorism,attack,Shared Services Canada
terrorism,attack,Canadian Department of National Defence
user,user,Canadian House of Commons
user,user,Canadian House of Commons
user,user,Natural Resources Canada
user,user,Natural Resources Canada
user,user,Natural Resources Canada
user,user,Canadian Broadcasting Corporation
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Environment Canada
user,user,Canadian Department of National Defence
user,user,Natural Resources Canada
user,user,Natural Resources Canada
user,user,Shared Services Canada
wikipedia,wikipedia,Shared Services Canada
wikipedia,wikipedia,Shared Services Canada
wikipedia,wikipedia,Shared Services Canada
wikipedia,wikipedia,Canadian Department of National Defence
wikipedia,wikipedia,Shared Services Canada
wikipedia,wikipedia,Environment Canada
wikipedia,wikipedia,Environment Canada
wikipedia,wikipedia,Environment Canada
wikipedia,wikipedia,Environment Canada
wikipedia,wikipedia,Environment Canada
wikipedia,wikipedia,Environment Canada
