"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"573755915704401920","","","2015-03-06 08:04:04 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Lightning across the Elko Hills.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/leC36OSyQW","","","","http://commons.wikimedia.org/w/index.php?diff=152268059&oldid=151442512&rcid=156567830"
"573755603450986496","","","2015-03-06 08:02:50 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:LenticularCloud-Madeira 20150221©KarlheinzEssl.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/fypfOxOkw9","","","","http://commons.wikimedia.org/w/index.php?diff=152268025&oldid=150760123&rcid=156567784"
"573755309098942464","","","2015-03-06 08:01:40 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Lake Tahoe - Heavy Snow.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/JrZ2chmxBn","","","","http://commons.wikimedia.org/w/index.php?diff=152267972&oldid=151600802&rcid=156567723"
"573755068283031552","","","2015-03-06 08:00:42 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:La-moitie-des-phenomenes-meteorologiques-extremes-d Wikipedia article edited anonymously from Environment Canada http://t.co/VPACwsDZoS","","","","http://commons.wikimedia.org/w/index.php?diff=152267926&oldid=150903837&rcid=156567672"
"573753862403854336","","","2015-03-06 07:55:55 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 07.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/Wvcq0ZeDfR","","","","http://commons.wikimedia.org/w/index.php?diff=152267742&oldid=152075413&rcid=156567430"
"573753790316298240","","","2015-03-06 07:55:38 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 06.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/X8SZMgWGMT","","","","http://commons.wikimedia.org/w/index.php?diff=152267729&oldid=152075412&rcid=156567397"
"573753700671426560","","","2015-03-06 07:55:16 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 05.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/s0Jb5LDSSV","","","","http://commons.wikimedia.org/w/index.php?diff=152267715&oldid=152075414&rcid=156567384"
"573753627199868928","","","2015-03-06 07:54:59 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 04.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/52BnyaYOUv","","","","http://commons.wikimedia.org/w/index.php?diff=152267701&oldid=152075408&rcid=156567362"
"573753546665033728","","","2015-03-06 07:54:40 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 03.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/Oq9e3ReVA1","","","","http://commons.wikimedia.org/w/index.php?diff=152267693&oldid=152075407&rcid=156567354"
"573753473541488640","","","2015-03-06 07:54:22 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 02.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/QI3Fmgbtqj","","","","http://commons.wikimedia.org/w/index.php?diff=152267680&oldid=152065292&rcid=156567336"
"573753228380270593","","","2015-03-06 07:53:24 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Klatka meteorologiczna 01.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/IaNKFNBwHT","","","","http://commons.wikimedia.org/w/index.php?diff=152267643&oldid=152065293&rcid=156567288"
"573752875886706688","","","2015-03-06 07:52:00 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Dusty Monument Valley.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/QJWEIoKhqj","","","","http://commons.wikimedia.org/w/index.php?diff=152267600&oldid=151991948&rcid=156567238"
"573752233365495808","","","2015-03-06 07:49:26 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Double Rainbow and Sunset in Canyonlands National P Wikipedia article edited anonymously from Environment Canada http://t.co/ZRjeq4ldCg","","","","http://commons.wikimedia.org/w/index.php?diff=152267455&oldid=151763281&rcid=156567078"
"573752116797435904","","","2015-03-06 07:48:59 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Double Rainbow - Canyonlands NP.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/GTtKDhd8md","","","","http://commons.wikimedia.org/w/index.php?diff=152267435&oldid=151974510&rcid=156567052"
"573751814740381696","","","2015-03-06 07:47:47 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Cliff Walls at Canyon Lands National Park.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/rsYWB3EToE","","","","http://commons.wikimedia.org/w/index.php?diff=152267376&oldid=151974511&rcid=156566986"
"573751674227068929","","","2015-03-06 07:47:13 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Cloud to Ground Lightning in Canyonlands National P Wikipedia article edited anonymously from Environment Canada http://t.co/KVE8Ou5AjD","","","","http://commons.wikimedia.org/w/index.php?diff=152267354&oldid=151974512&rcid=156566963"
"573751252674297856","","","2015-03-06 07:45:33 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Canyonlands National Park Sunset.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/ftGgsShgmc","","","","http://commons.wikimedia.org/w/index.php?diff=152267294&oldid=152267271&rcid=156566886"
"573751102996365312","","","2015-03-06 07:44:57 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Canyonlands National Park Sunset.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/AYmqxG1rMP","","","","http://commons.wikimedia.org/w/index.php?diff=152267271&oldid=151974513&rcid=156566857"
"573750862142697472","","","2015-03-06 07:43:59 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Category:Double Rainbow Wikipedia article edited anonymously from Environment Canada http://t.co/0CkdNIeCDp","","","","http://commons.wikimedia.org/w/index.php?diff=152267067&oldid=136533635&rcid=156566646"
"573750249363238912","","","2015-03-06 07:41:33 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Double Rainbow in Cologne (5421120929).jpg Wikipedia article edited anonymously from Environment Canada http://t.co/UiMfkArqfJ","","","","http://commons.wikimedia.org/w/index.php?diff=152266337&oldid=143193432&rcid=156565902"
"573750147240321024","","","2015-03-06 07:41:09 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Double Rainbow Beauty.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/RvzBgijBx7","","","","http://commons.wikimedia.org/w/index.php?diff=152266325&oldid=120441393&rcid=156565890"
"573750010669613056","","","2015-03-06 07:40:36 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Canyonlands National Park 2.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/9ht5O201Fe","","","","http://commons.wikimedia.org/w/index.php?diff=152266308&oldid=151762799&rcid=156565866"
"573749477036654592","","","2015-03-06 07:38:29 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Canyonlands National Park - Sunsets.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/NIA6ZIBPan","","","","http://commons.wikimedia.org/w/index.php?diff=152266253&oldid=151974509&rcid=156565798"
"573749029630251008","","","2015-03-06 07:36:43 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Arches National Park - Double Arches 3.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/dNoM7htQXY","","","","http://commons.wikimedia.org/w/index.php?diff=152266218&oldid=151974769&rcid=156565757"
"573748905550217216","","","2015-03-06 07:36:13 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Arches National Park - Blue Sky.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/Xvg2sBoOXH","","","","http://commons.wikimedia.org/w/index.php?diff=152266207&oldid=151974770&rcid=156565743"
"573748627094564864","","","2015-03-06 07:35:07 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:2015-02-01 snow storm in Medford, MA.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/LBH3J6hzeE","","","","http://commons.wikimedia.org/w/index.php?diff=152266178&oldid=148781379&rcid=156565711"
"573708386895790080","","","2015-03-06 04:55:13 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Pression de vapeur saturante de l'eau Wikipedia article edited anonymously from Environment Canada http://t.co/By61XeYAea","","","","http://fr.wikipedia.org/w/index.php?diff=112470717&oldid=112465058&rcid=136876637"
"573558969974849537","","","2015-03-05 19:01:29 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Report on the Affairs of British North Amer Wikipedia article edited anonymously from Canadian Museum of Civilization http://t.co/46rgJQ22Tw","","","","http://en.wikipedia.org/w/index.php?diff=650029193&oldid=650028981"
