timestamp,source,text,expanded_urls
2014-12-29 18:57:17 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:Parting with the Skyline (2844995862).jpg Wikipedia article edited anonymously from Environment Canada http://t.co/eD8CMyLit0,http://commons.wikimedia.org/w/index.php?diff=144628804&oldid=137014226&rcid=146522720
2014-12-29 18:56:21 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:Mt Batur and Mt Abang 200507.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/WryuAsKITz,http://commons.wikimedia.org/w/index.php?diff=144628713&oldid=141766095&rcid=146522625
2014-12-29 18:55:21 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Jd. Bonfiglioli, Butantã - panoramio.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/SAoKL5L4xH",http://commons.wikimedia.org/w/index.php?diff=144628625&oldid=144592626&rcid=146522535
2014-12-29 18:54:01 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Céu tempestuoso, Vila Mariana - panoramio.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/oXPq4fQdpU",http://commons.wikimedia.org/w/index.php?diff=144628494&oldid=144592165&rcid=146522391
2014-12-29 18:52:38 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Céu matinal, Ipiranga - panoramio.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/wo5NUFN0TV",http://commons.wikimedia.org/w/index.php?diff=144628362&oldid=144591801&rcid=146522250
2014-12-29 18:51:33 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Crepúsculo na alvorada, Ipiranga. - panoramio.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/WrOUwxY95m",http://commons.wikimedia.org/w/index.php?diff=144628264&oldid=144591688&rcid=146522154
2014-12-29 18:48:07 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:Bikers no. 43 Copyright Daniel D. Teoli Jr..jpg Wikipedia article edited anonymously from Environment Canada http://t.co/PbS3WWsYUK,http://commons.wikimedia.org/w/index.php?diff=144627843&oldid=144619221&rcid=146521715
2014-12-29 18:10:17 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Bureau de la sécurité des transports Wikipedia article edited anonymously from Shared Services Canada http://t.co/BuK8vXINA4,http://fr.wikipedia.org/w/index.php?diff=110358198&oldid=105288233&rcid=132405961
2014-12-29 17:56:37 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Transportation Safety Board of Canada Wikipedia article edited anonymously from Shared Services Canada http://t.co/xav1i39t2p,http://en.wikipedia.org/w/index.php?diff=640118936&oldid=640118882
2014-12-29 17:56:06 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Transportation Safety Board of Canada Wikipedia article edited anonymously from Shared Services Canada http://t.co/wjy9gkUg9a,http://en.wikipedia.org/w/index.php?diff=640118882&oldid=632199854
2014-12-29 17:53:54 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Early Edition Wikipedia article edited anonymously from Shared Services Canada http://t.co/2VxAbGfhtl,http://en.wikipedia.org/w/index.php?diff=640118647&oldid=630894279
2014-12-29 14:06:11 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Saint Lucia Wikipedia article edited anonymously from Shared Services Canada http://t.co/aVTkb2uGgP,http://en.wikipedia.org/w/index.php?diff=640093191&oldid=639302328
2014-12-29 13:53:13 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Postdiction Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/AROpugpn4g,http://en.wikipedia.org/w/index.php?diff=640091899&oldid=640091820
2014-12-29 13:52:28 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Postdiction Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/l2T6mqHBhe,http://en.wikipedia.org/w/index.php?diff=640091820&oldid=640091761
2014-12-29 13:51:42 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Postdiction Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/f8hmeAvU0V,http://en.wikipedia.org/w/index.php?diff=640091761&oldid=640091564
2014-12-29 13:49:48 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Postdiction Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/Vu5Ez0UGRB,http://en.wikipedia.org/w/index.php?diff=640091564&oldid=640091446
2014-12-29 13:48:19 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Postdiction Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/mp7tGnlBmP,http://en.wikipedia.org/w/index.php?diff=640091446&oldid=626118729
2014-12-29 13:28:52 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Upal Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/IMLOZna8ly,http://en.wikipedia.org/w/index.php?diff=640089698&oldid=640089610
2014-12-29 13:27:54 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Upal Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/rvFldpIZ78,http://en.wikipedia.org/w/index.php?diff=640089610&oldid=640089363
